demand_electricity,electricity_balance,pv,heat_pump,supply_grid_power
-0.0,-4.436139890094637,0.0,-0.0,0.0
-0.0,-5.738473223427718,0.0,-0.0,0.0
-0.0,-4.343139890090242,0.0,-0.0,0.0
-0.0,-2.315473223432491,0.0,-0.0,0.0
-0.0,-1.5388065567567537,0.0,-0.0,0.0
-0.0,-1.5368065567672602,0.0,-0.0,0.0
-0.0,-1.4368065567614394,0.0,-0.0,0.0
-0.0,-6.002973223427427,0.0,-11.57626,0.0
-0.0,-7.070559721427166,0.0,-13.742370000000003,0.0
-0.0,-3.4748785564266997,0.0,-3.266920000000001,0.0
-0.0,-7.197161911097693,0.0,-7.94419,0.0
-0.0,-8.243012507424169,0.0,-7.261460000000001,0.0
-0.0,-2.8511946497632144,0.0,-3.4350899999999993,0.0
-0.0,-1.951169066429785,0.0,-4.4488,0.0
-0.0,-3.3467295907579184,0.0,-4.850800000000001,0.0
-0.0,-5.243099144758617,0.0,-7.510030000000002,0.0
-0.0,-4.68097322342833,0.0,-4.862860000000002,0.0
-0.0,-6.830473223430802,0.0,-8.533119999999998,0.0
-0.0,-4.107473223430134,0.0,-0.0,0.0
-0.0,-7.023139890090533,0.0,-0.0,0.0
-0.0,-8.327723223428068,0.0,-7.030310000000002,0.0
-0.0,-4.099806556761905,0.0,-0.0,0.0
-0.0,-4.381973223433597,0.0,-2.030100000000001,0.0
-0.0,-4.552806556755968,0.0,-0.0,0.0
-0.0,-3.2818065567626036,0.0,-0.0,0.0
-0.0,-1.9604732234256517,0.0,-0.0,0.0
-0.0,-1.649139890098013,0.0,-0.0,0.0
-0.0,-1.6488065567609738,0.0,-0.0,0.0
-0.0,-1.7038065567612648,0.0,-0.0,0.0
-0.0,-1.5964732234242547,0.0,-0.0,0.0
-0.0,-1.5688065567628655,0.0,-0.0,0.0
-0.0,-7.8468898900946655,0.0,-15.12257,0.0
-0.0,-5.463953276423179,0.0,-9.763240000000003,0.0
-0.0,-2.5653018994351102,0.0,-3.3520100000000004,0.0
-0.0,-1.6229165657580924,0.0,-0.0,0.0
-0.0,-5.75988439775978,0.0,-11.161529999999999,0.0
-0.0,-2.4047283767658345,0.0,-3.043140000000001,0.0
-0.0,-4.226927081424807,0.0,-4.7884899999999995,0.0
-0.0,-3.0138252730948403,0.0,-3.0377799999999993,0.0
-0.0,-1.8784837120947533,0.0,-0.0,0.0
-0.0,-3.274473223423847,0.0,-1.1523999999999992,0.0
-0.0,-3.7018065567681333,0.0,-0.0,0.0
-0.0,-9.504889890095102,0.0,-14.487409999999999,0.0
-0.0,-4.404139890091756,0.0,-0.0,0.0
-0.0,-5.74113989009129,0.0,-0.0,0.0
-0.0,-10.303139890092512,0.0,-12.545079999999999,0.0
-0.0,-6.566806556765921,0.0,-3.304439999999999,0.0
-0.0,-3.361806556760712,0.0,-0.0,0.0
-0.0,-2.8491398900914646,0.0,-0.0,0.0
-0.0,-1.8421398900973145,0.0,-0.0,0.0
-0.0,-1.634139890094957,0.0,-0.0,0.0
-0.0,-1.4934732234250987,0.0,-0.0,0.0
-0.0,-1.5964732234315306,0.0,-0.0,0.0
-0.0,-1.6088065567601006,0.0,-0.0,0.0
-0.0,-1.5601398900944332,0.0,-0.0,0.0
-0.0,-6.91672322342961,0.0,-13.087110000000001,0.0
-0.0,-4.301026008759781,0.0,-6.117100000000002,0.0
-0.0,-5.708862913759372,0.0,-11.81344,0.0
-0.0,-5.490281365763302,0.0,-7.300320000000001,0.0
-0.0,-3.4259357407636806,0.0,-0.0,0.0
-0.0,-2.9455092144248365,0.0,-7.07185,0.0
-0.0,0.8710734132357665,0.0,-0.0,0.0
-0.0,-1.5544427527593148,0.0,-0.0,0.0
-0.0,-4.208894585762458,0.0,-0.0,0.0
-0.0,-3.661473223433859,0.0,-0.0,0.0
-0.0,-4.597973223418725,0.0,-1.46462,0.0
-0.0,-5.52147322343287,0.0,-1.9349600000000013,0.0
-0.0,-7.56855655675751,0.0,-7.53549,0.0
-0.0,-5.324473223427049,0.0,-0.0,0.0
-0.0,-4.991639890097169,0.0,-1.646859999999999,0.0
-0.0,-3.8222232234232942,0.0,-0.52193,0.0
-0.0,-3.130139890094142,0.0,-0.0,0.0
-0.0,-2.8668065567653684,0.0,-0.0,0.0
-0.0,-1.764473223425739,0.0,-0.0,0.0
-0.0,-1.6928065567626618,0.0,-0.0,0.0
-0.0,-1.5578065567606245,0.0,-0.0,0.0
-0.0,-1.6534732234322291,0.0,-0.0,0.0
-0.0,-1.6021398900920758,0.0,-0.0,0.0
-0.0,-1.8371398900926579,0.0,-0.0,0.0
-0.0,-14.295889890092717,0.0,-31.952970000000004,0.0
-0.0,-2.1281441344281546,0.0,-0.0,0.0
-0.0,-5.77527504443386,0.0,-9.967590000000003,0.0
-0.0,-1.428822504421897,0.0,-6.03,0.0
-0.0,-2.9962031380970235,0.0,-0.0,0.0
-0.0,-0.5910722457631561,0.0,-1.5014699999999999,0.0
-0.0,-0.23718820942518626,0.0,-0.0,0.0
-0.0,-5.800738375426468,0.0,-5.359330000000002,0.0
-0.0,-3.3496028090989736,0.0,-1.9523800000000011,0.0
-0.0,-6.017139890088204,0.0,-9.53812,0.0
-0.0,-5.705389890092803,0.0,-4.43071,0.0
-0.0,-5.600056556766533,0.0,-2.3805100000000006,0.0
-0.0,-4.110473223423469,0.0,-0.0,0.0
-0.0,-4.61180655676435,0.0,-0.0,0.0
-0.0,-5.530056556762952,0.0,-4.776429999999999,0.0
-0.0,-5.724473223428969,0.0,-5.92816,0.0
-0.0,-3.2694732234303956,0.0,-0.0,0.0
-0.0,-2.450139890090213,0.0,-0.0,0.0
-0.0,-2.1638065567603917,0.0,-0.0,0.0
-0.0,-1.7278065567625163,0.0,-0.0,0.0
-0.0,-1.6044732234295225,0.0,-0.0,0.0
-0.0,-1.591473223430512,0.0,-0.0,0.0
-0.0,-1.623139890092716,0.0,-0.0,0.0
-0.0,-1.6688065567577723,0.0,-0.0,0.0
-0.0,-9.108889890093968,0.0,-18.322490000000002,0.0
-0.0,-6.219201788097257,0.0,-11.984290000000001,0.0
-0.0,-5.636029719758937,0.0,-10.987330000000002,0.0
-0.0,-1.9626601947628364,0.0,-0.0,0.0
-0.0,-3.379006981762429,0.0,-3.8719300000000003,0.0
-0.0,0.06658841557260242,0.0,-0.789929999999999,0.0
-0.0,-1.0254534194271363,0.0,-0.0,0.0
-0.0,-4.3271200340941425,0.0,-0.0,0.0
-0.0,-7.707908455762574,0.0,-10.48148,0.0
-0.0,-8.334473223428155,0.0,-8.243680000000001,0.0
-0.0,-4.38880655675978,0.0,-0.6110399999999994,0.0
-0.0,-9.498723223425273,0.0,-10.10963,0.0
-0.0,-7.614139890090446,0.0,-5.748599999999999,0.0
-0.0,-3.8184732234367402,0.0,-0.0,0.0
-0.0,-3.342806556760479,0.0,-0.0,0.0
-0.0,-4.449389890092978,0.0,-3.4551900000000004,0.0
-0.0,-3.031139890095801,0.0,-0.0,0.0
-0.0,-2.675139890096034,0.0,-0.0,0.0
-0.0,-1.8848065567581216,0.0,-0.0,0.0
-0.0,-1.5841398900956847,0.0,-0.0,0.0
-0.0,-1.3858065567619633,0.0,-0.0,0.0
-0.0,-1.4918065567580925,0.0,-0.0,0.0
-0.0,-1.5494732234292314,0.0,-0.0,0.0
-0.0,-1.7254732234287076,0.0,-0.0,0.0
-0.0,-4.551556556755211,0.0,-4.265890000000001,0.0
-0.0,-9.36230237009877,0.0,-15.763090000000002,0.0
-0.0,-3.303272186096267,0.0,-4.556000000000001,0.0
-0.0,-5.590059410426553,0.0,-4.26321,0.0
-0.0,-5.1167299304299005,0.0,-0.0,0.0
-0.0,-2.986556982092135,0.0,-5.876570000000001,0.0
