demand_electricity,electricity_balance,pv,soc,delta_battery,heat_pump,supply_grid_power
-0.0,-7.980039565,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.093622898,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.734598705250001,0.0,0.2,0.0,-0.008871012317,0.0
-0.0,-4.2387060115,0.0,0.2,0.0,-0.005734824046,0.0
-0.0,-3.3302893447499997,0.0,0.2,0.0,-0.004818157379,0.0
-0.0,-2.85268633925,0.0,0.2,0.0,-0.002409078689,0.0
-0.0,-4.683333333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-4.643,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.1591666669999996,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.4191666670000003,0.0,0.2,0.0,-0.0092,0.0
-0.0,-4.520916667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.9714166669999997,0.0,0.2,0.0,-0.0092,0.0
-0.0,-5.7205833329999995,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.65133333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.680749999999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.504416667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.885333333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.087083333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.418916667000001,0.0,0.2,0.0,-0.0092,0.0
-0.0,-13.178999999999998,0.0,0.2,0.0,-0.0092,0.0
-0.0,-12.497916669999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-11.712333333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.807500000000001,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.808166667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.634916667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-5.589,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.119436339,0.0,0.2,0.0,-0.003325745356,0.0
-0.0,-2.336583333,0.0,0.2,0.0,-0.0,0.0
-0.0,-1.672916667,0.0,0.2,0.0,-0.0,0.0
-0.0,-2.41175,0.0,0.2,0.0,-0.0,0.0
-0.0,-4.110416667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.8965833329999997,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.0255833329999993,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.3,0.0,0.21435499999999993,-0.07974999999999967,-0.0092,0.0
-0.0,-4.199652499999999,0.0,0.2,0.06459749999999974,-0.0092,0.0
-0.0,-3.082166667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-5.384583332999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-15.899583330000002,0.0,0.2,0.0,-0.0092,0.0
-0.0,-12.191333329999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.9025,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.8375833329999995,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.641583333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.165,0.0,0.2,0.0,-0.0092,0.0
