demand_electricity,pv,delta_battery,heat_pump,import,export_pv
-5.680039565,0.0,0.0,-2.3,7.980039565,0.0
-4.793622898,0.0,0.0,-2.3,7.093622898,0.0
-4.516845626,0.0,0.0,-2.21775307925,6.734598705250001,0.0
-2.805,0.0,0.0,-1.4337060115,4.2387060115,0.0
-2.12575,0.0,0.0,-1.20453934475,3.3302893447499997,0.0
-2.250416667,0.0,0.0,-0.60226967225,2.85268633925,0.0
-2.383333333,0.0,0.0,-2.3,4.683333333,0.0
-2.8105,0.4675,0.0,-2.3,4.643,0.0
-2.814166667,1.955,0.0,-2.3,3.1591666669999996,0.0
-4.612666667,3.4934999999999996,0.0,-2.3,3.4191666670000003,0.0
-6.963916667,4.743,0.0,-2.3,4.520916667,0.0
-6.677916667,5.0065,0.0,-2.3,3.9714166669999997,0.0
-7.891583333,4.471,0.0,-2.3,5.7205833329999995,0.0
-11.70033333,3.349,0.0,-2.3,10.65133333,0.0
-7.56525,2.1845000000000003,0.0,-2.3,7.680749999999999,0.0
-7.348916667,0.14450000000000002,0.0,-2.3,9.504416667,0.0
-6.585333333,0.0,0.0,-2.3,8.885333333,0.0
-7.787083333,0.0,0.0,-2.3,10.087083333,0.0
-8.118916667,0.0,0.0,-2.3,10.418916667000001,0.0
-10.879,0.0,0.0,-2.3,13.178999999999998,0.0
-10.19791667,0.0,0.0,-2.3,12.497916669999999,0.0
-9.412333333,0.0,0.0,-2.3,11.712333333,0.0
-7.5075,0.0,0.0,-2.3,9.807500000000001,0.0
-4.508166667,0.0,0.0,-2.3,6.808166667,0.0
-4.334916667,0.0,0.0,-2.3,6.634916667,0.0
-3.289,0.0,0.0,-2.3,5.589,0.0
-2.288,0.0,0.0,-0.831436339,3.119436339,0.0
-2.336583333,0.0,0.0,-0.0,2.336583333,0.0
-1.672916667,0.0,0.0,-0.0,1.672916667,0.0
-2.41175,0.0,0.0,-0.0,2.41175,0.0
-1.810416667,0.0,0.0,-2.3,4.110416667,0.0
-2.727083333,1.1305,0.0,-2.3,3.8965833329999997,0.0
-4.074583333,3.349,0.0,-2.3,3.0255833329999993,0.0
-4.50175,4.5815,-0.07974999999999967,-2.3,2.3,0.0
-6.61375,4.649500000000001,0.06459749999999974,-2.3,4.199652499999999,0.0
-5.635666667,4.8534999999999995,0.0,-2.3,3.082166667,0.0
-6.824583333,3.74,0.0,-2.3,5.384583332999999,0.0
-15.69058333,2.0909999999999997,0.0,-2.3,15.899583330000002,0.0
-10.43533333,0.544,0.0,-2.3,12.191333329999999,0.0
-6.611,0.0085,0.0,-2.3,8.9025,0.0
-5.537583333,0.0,0.0,-2.3,7.8375833329999995,0.0
-7.341583333,0.0,0.0,-2.3,9.641583333,0.0
-7.865,0.0,0.0,-2.3,10.165,0.0
-8.514,0.0,0.0,-2.3,10.814,0.0
-10.30333333,0.0,0.0,-2.3,12.603333329999998,0.0
-8.084083333,0.0,0.0,-2.3,10.384083333,0.0
-5.522,0.0,0.0,-2.3,7.822,0.0
-6.20675,0.0,0.0,-2.3,8.50675,0.0
-4.40825,0.0,0.0,-2.3,6.70825,0.0
-3.321083333,0.0,0.0,-2.3,5.621083333,0.0
-2.464,0.0,0.0,-0.831436339,3.295436339,0.0
-2.06525,0.0,0.0,-0.831436339,2.896686339,0.0
-2.002,0.0,0.0,-0.0,2.002,0.0
-2.613416667,0.0,0.0,-0.0,2.613416667,0.0
-2.331083333,0.0,0.0,-2.3,4.631083332999999,0.0
-2.541916667,1.6745,0.0,-2.3,3.167416667,0.0
-3.026375,3.842,-0.8156250000000003,-2.3,2.3,0.0
-4.142875,5.185,-1.0421249999999993,-2.3,2.3,0.0
-5.457833333,5.864999999999999,-0.4071666669999995,-2.3,2.3,0.0
-6.141666667,6.043499999999999,0.09816666700000086,-2.3,2.3,0.0
-8.668,5.5165,1.7364158332699986,-2.3,3.7150841667300005,0.0
-13.08816667,4.4624999999999995,0.0,-2.3,10.925666670000002,0.0
-8.733083333,2.5755,0.0,-2.3,8.457583332999999,0.0
-10.30883333,0.153,0.0,-2.3,12.45583333,0.0
-6.199875,0.0,0.0,-2.3,8.499875,0.0
-5.819916667,0.0,0.0,-2.3,8.119916667,0.0
-8.376041667,0.0,0.0,-2.3,10.676041667,0.0
-9.475583333,0.0,0.0,-2.3,11.775583333,0.0
-10.05766667,0.0,0.0,-2.3,12.35766667,0.0
