demand_heat,heat_pump,boiler,district_heating_industry
-26.63934868,9.2,15.8,1.6393486800000012
-10.92728857,9.2,1.7272885700000007,0.0
-8.871012317,8.871012317,0.0,0.0
-5.734824046,5.734824046,0.0,0.0
-4.818157379,4.818157379,0.0,0.0
-2.409078689,2.409078689,0.0,0.0
-38.5,9.2,15.8,13.5
-79.40907869,9.2,15.8,54.40907869
-62.56815738,9.2,15.8,37.56815738
-60.73482405,9.2,15.8,35.73482405
-88.72710165,9.2,15.8,63.727101649999994
-79.09078689,9.2,15.8,54.090786890000004
-88.1513563,9.2,15.8,63.1513563
-61.54539344,9.2,15.8,36.54539344
-77.83319891,9.2,15.8,52.83319890999999
-68.77262951,9.2,15.8,43.77262951
-73.24986558,9.2,15.8,48.249865580000005
-52.82574535,9.2,15.8,27.825745350000002
-63.03780547,9.2,15.8,38.03780547000001
-61.54539344,9.2,15.8,36.54539344
-72.09837487,9.2,15.8,47.09837487
-55.12872678,9.2,15.8,30.128726780000004
-50.3105694,9.2,15.8,25.310569400000002
-13.98482405,9.2,4.784824050000001,0.0
-14.21964809,9.2,5.0196480900000005,0.0
-12.72723607,9.2,3.5272360700000007,0.0
-3.325745356,3.325745356,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-38.15907869,9.2,15.8,13.159078690000001
-71.5,9.2,15.8,46.5
-74.37872678,9.2,15.8,49.378726779999994
-81.73468963,9.2,15.8,56.734689630000005
-66.12872678,9.2,15.8,41.128726779999994
-67.62113881,9.2,15.8,42.621138810000005
-76.34078689,9.2,15.8,51.340786890000004
-92.28767103,9.2,15.8,67.28767103
-72.33319891,9.2,15.8,47.33319890999999
-56.96206011,9.2,15.8,31.962060110000007
-66.02262951,9.2,15.8,41.02262951
-56.38631476,9.2,15.8,31.38631476
-69.34837487,9.2,15.8,44.34837487
-63.03780547,9.2,15.8,38.03780547000001
-54.78780547,9.2,15.8,29.787805470000006
-62.12113881,9.2,15.8,37.121138810000005
-71.07561093,9.2,15.8,46.075610929999996
-19.37872678,9.2,10.178726780000002,0.0
-13.06815738,9.2,3.8681573800000013,0.0
-16.28780547,9.2,7.087805469999999,0.0
-3.325745356,3.325745356,0.0,0.0
-3.325745356,3.325745356,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-45.15149072,9.2,15.8,20.151490719999995
-80.79539344,9.2,15.8,55.79539344
-58.5605694,9.2,15.8,33.560569400000006
-68.19688416,9.2,15.8,43.196884159999996
-84.48468963,9.2,15.8,59.484689630000005
-61.3105694,9.2,15.8,36.310569400000006
-57.64390274,9.2,15.8,32.64390274
-63.03780547,9.2,15.8,38.03780547000001
-74.4013563,9.2,15.8,49.4013563
-67.17412023,9.2,15.8,42.17412023
-57.87872678,9.2,15.8,32.87872678000001
-47.90149072,9.2,15.8,22.901490719999995
-62.12113881,9.2,15.8,37.121138810000005
-37.24241202,9.2,15.8,12.242412020000003
-46.06815738,9.2,15.8,21.06815738
-55.70447214,9.2,15.8,30.704472140000004
-41.82574535,9.2,15.8,16.825745350000002
-10.89390274,9.2,1.6939027400000004,0.0
-16.62872678,9.2,7.428726780000002,0.0
-0.916666667,0.916666667,0.0,0.0
-4.242412023,4.242412023,0.0,0.0
0.0,0.0,0.0,0.0
-5.734824046,5.734824046,0.0,0.0
-3.325745356,3.325745356,0.0,0.0
-37.58333333,9.2,15.8,12.583333330000002
-82.73482405,9.2,15.8,57.73482405
-86.31802296,9.2,15.8,61.31802295999999
-85.06043498,9.2,15.8,60.06043498
-69.34837487,9.2,15.8,44.34837487
-78.06802296,9.2,15.8,53.06802295999999
-60.62872678,9.2,15.8,35.62872678000001
-62.12113881,9.2,15.8,37.121138810000005
-56.04539344,9.2,15.8,31.045393439999994
-59.37113881,9.2,15.8,34.371138810000005
-50.3105694,9.2,15.8,25.310569400000002
-53.74241202,9.2,15.8,28.74241202
-72.09837487,9.2,15.8,47.09837487
-45.15149072,9.2,15.8,20.151490719999995
-59.26504154,9.2,15.8,34.26504154
-60.18170821,9.2,15.8,35.18170821
-44.8105694,9.2,15.8,19.810569400000002
-38.6513563,9.2,15.8,13.651356300000003
-27.18170821,9.2,15.8,2.18170821
-1.833333333,1.833333333,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-50.20447214,9.2,15.8,25.204472140000004
-82.39390274,9.2,15.8,57.39390274
-65.55298142,9.2,15.8,40.552981419999995
-77.59837487,9.2,15.8,52.59837487
-54.31815738,9.2,15.8,29.31815738
-64.29539344,9.2,15.8,39.29539344
-58.79539344,9.2,15.8,33.79539344
-73.01504154,9.2,15.8,48.01504154
-79.9013563,9.2,15.8,54.9013563
-84.37859236,9.2,15.8,59.37859236
-62.12113881,9.2,15.8,37.121138810000005
-59.03021749,9.2,15.8,34.03021749
-70.26504153,9.2,15.8,45.265041530000005
-46.06815738,9.2,15.8,21.06815738
-70.73468963,9.2,15.8,45.734689630000005
-50.54539344,9.2,15.8,25.545393439999994
-53.63631476,9.2,15.8,28.63631476
-17.3105694,9.2,8.1105694,0.0
-22.93929618,9.2,13.73929618,0.0
-27.41653225,9.2,15.8,2.4165322499999995
0.0,0.0,0.0,0.0
-0.916666667,0.916666667,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-39.99241202,9.2,15.8,14.992412020000003
-75.40149072,9.2,15.8,50.40149072
-80.00745356,9.2,15.8,55.00745356
-77.83319891,9.2,15.8,52.83319890999999
-70.94688416,9.2,15.8,45.946884159999996
-64.87113881,9.2,15.8,39.871138810000005
-60.05298142,9.2,15.8,35.05298142000001
-78.40894427,9.2,15.8,53.408944270000006
-58.11355083,9.2,15.8,33.11355083000001
-72.33319891,9.2,15.8,47.33319890999999
-65.34078689,9.2,15.8,40.340786890000004
-53.63631476,9.2,15.8,28.63631476
