demand_heat,boiler,heat_pump
-29.061,29.061,0.0
-11.921,11.921,0.0
-9.677,9.677,0.0
-6.256,6.256,0.0
-5.256,5.256,0.0
-2.628,2.628,0.0
-42.0,35.0,7.0
-86.628,35.0,51.628
-68.256,35.0,33.256
-66.256,35.0,31.256
-96.793,35.0,61.793000000000006
-86.281,35.0,51.281000000000006
-96.165,35.0,61.165000000000006
-67.14,35.0,32.14
-84.909,35.0,49.909000000000006
-75.025,35.0,40.025000000000006
-79.909,35.0,44.909000000000006
-57.628,35.0,22.628
-68.769,35.0,33.769000000000005
-67.14,35.0,32.14
-78.653,35.0,43.653000000000006
-60.14,35.0,25.14
-54.884,35.0,19.884
-15.256,15.256,0.0
-15.512,15.512,0.0
-13.884,13.884,0.0
-3.628,3.628,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-41.628,35.0,6.628
-78.0,35.0,43.0
-81.14,35.0,46.14
-89.165,35.0,54.165000000000006
-72.14,35.0,37.14
-73.769,35.0,38.769000000000005
-83.281,35.0,48.281000000000006
-100.677,35.0,65.677
-78.909,35.0,43.909000000000006
-62.14,35.0,27.14
-72.025,35.0,37.025000000000006
-61.512,35.0,26.512
-75.653,35.0,40.653000000000006
-68.769,35.0,33.769000000000005
-59.769,35.0,24.769
-67.769,35.0,32.769000000000005
-77.537,35.0,42.537000000000006
-21.14,21.14,0.0
-14.256,14.256,0.0
-17.769,17.769,0.0
-3.628,3.628,0.0
-3.628,3.628,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-49.256,35.0,14.256
-88.14,35.0,53.14
-63.884,35.0,28.884
-74.397,35.0,39.397000000000006
-92.165,35.0,57.165000000000006
-66.884,35.0,31.884
-62.884,35.0,27.884
-68.769,35.0,33.769000000000005
-81.165,35.0,46.165000000000006
-73.281,35.0,38.281000000000006
-63.14,35.0,28.14
-52.256,35.0,17.256
-67.769,35.0,32.769000000000005
-40.628,35.0,5.628
-50.256,35.0,15.256
-60.769,35.0,25.769
-45.628,35.0,10.628
-11.884,11.884,0.0
-18.14,18.14,0.0
-1.0,1.0,0.0
-4.628,4.628,0.0
0.0,0.0,0.0
-6.256,6.256,0.0
-3.628,3.628,0.0
-41.0,35.0,6.0
-90.256,35.0,55.256
-94.165,35.0,59.165000000000006
-92.793,35.0,57.793000000000006
-75.653,35.0,40.653000000000006
-85.165,35.0,50.165000000000006
-66.14,35.0,31.14
